1685,Inhapi
1686,Jacaré dos Homens
1687,Jacuípe
1688,Japaratinga
1689,Jaramataia
1690,Jequiá da Praia
1691,Joaquim Gomes
1692,Jundiá
1693,Junqueiro
1694,Lagoa da Canoa
1695,Limoeiro de Anadia
1696,Maceió
1697,Major Isidoro
1698,Maragogi
1699,Maravilha
1700,Marechal Deodoro
1701,Maribondo
1702,Mar Vermelho
1703,Mata Grande
1704,Matriz de Camaragibe
1705,Messias
1706,Minador do Negrão
1707,Monteirópolis
1708,Murici
1709,Novo Lino
1710,Olho d'Água das Flores
1711,Olho d'Água do Casado
1712,Olho d'Água Grande
1713,Olivença
1714,Ouro Branco
1715,Palestina
1716,Palmeira dos Índios
1717,Pão de Açúcar
1718,Pariconha
1719,Paripueira
1720,Passo de Camaragibe
1721,Paulo Jacinto
1722,Penedo
1723,Piaçabuçu
1724,Pilar
1725,Pindoba
1726,Piranhas
1727,Poço das Trincheiras
1728,Porto Calvo
1729,Porto de Pedras
1730,Porto Real do Colégio
1731,Quebrangulo
1732,Rio Largo
1733,Roteiro
1734,Santa Luzia do Norte
1735,Santana do Ipanema
1736,Santana do Mundaú
1737,São Brás
1738,São José da Laje
1739,São José da Tapera
1740,São Luís do Quitunde
1741,São Miguel dos Campos
1742,São Miguel dos Milagres
1743,São Sebastião
1744,Satuba
1745,Senador Rui Palmeira
1746,Tanque d'Arca
1747,Taquarana
1748,Teotônio Vilela
1749,Traipu
1750,União dos Palmares
1751,Viçosa
1752,Amparo de São Francisco
1753,Aquidabã
1754,Aracaju
1755,Arauá
1756,Areia Branca
1757,Barra dos Coqueiros
1758,Boquim
1759,Brejo Grande
1760,Campo do Brito
1761,Canhoba
1762,Canindé de São Francisco
1763,Capela
1764,Carira
1765,Carmópolis
1766,Cedro de São João
1767,Cristinápolis
1768,Cumbe
1769,Divina Pastora
1770,Estância
1771,Feira Nova
1772,Frei Paulo
1773,Gararu
1774,General Maynard
1775,Graccho Cardoso
1776,Ilha das Flores
1777,Indiaroba
1778,Itabaiana
1779,Itabaianinha
1780,Itabi
1781,Itaporanga d'Ajuda
1782,Japaratuba
1783,Japoatã
1784,Lagarto
1785,Laranjeiras
1786,Macambira
1787,Malhada dos Bois
1788,Malhador
1789,Maruim
1790,Moita Bonita
1791,Monte Alegre de Sergipe
1792,Muribeca
1793,Neópolis
1794,Nossa Senhora Aparecida
