HYPER_PARAM,FEATURES,K_FOLDS,OUTPUT,AVG_RMSE,AVG_RMSE_%_AVG,STD_RMSE,STD_RMSE_%_AVG,AVG_MAE,AVG_MAE_%_AVG,STD_MAE,STD_MAE_%_AVG
1,ISI,5,area,99.169342267,7.71908521497,40.2481171645,3.13280938476,26.9927662435,2.10104713874,9.48403741642,0.738212952972
1,ISI,5,area_adjusted,2.0763567459,1.86886462111,0.213413711063,0.192087094403,1.48159791568,1.33354055501,0.152655942236,0.137400901945
1,ISI,7,area,93.7373393595,7.29627215225,46.7418028376,3.63826108912,23.3054828899,1.81403853541,7.37779458932,0.574268456678
1,ISI,7,area_adjusted,1.94425876466,1.74996730535,0.142949919549,0.128664810497,1.35675523592,1.22117351217,0.11307872444,0.101778669742
1,ISI,9,area,58.1138148384,4.52342910268,37.2073551777,2.89612433313,18.1913688916,1.41596912353,6.28151068208,0.488936551612
1,ISI,9,area_adjusted,1.94386295757,1.7496110516,0.234506822638,0.211072353102,1.4079997372,1.26729710613,0.241293335932,0.217180684255
1,ISI,10,area,56.8768910581,4.4271501535,40.881060904,3.18207608906,19.2618122172,1.49928966453,8.48339824985,0.660325787245
1,ISI,10,area_adjusted,1.96402344623,1.76775688519,0.25011335572,0.22511931184,1.41392386654,1.27262923211,0.208863421813,0.187991519492
1,ISI,11,area,60.8980816055,4.74014922953,56.8965570621,4.4286809044,21.477040619,1.67171731619,15.2426603945,1.18644927755
1,ISI,11,area_adjusted,1.99806418684,1.79839590516,0.289472994349,0.260545707752,1.44664897802,1.3020840949,0.24386958639,0.219499487778
1,ISI,13,area,63.8258524553,4.96803934318,62.8561692604,4.89256171026,20.7594511834,1.61586200975,14.8145602161,1.15312706645
1,ISI,13,area_adjusted,1.95558470622,1.76016143577,0.235093844938,0.211600713756,1.38875625239,1.2499766394,0.193124774226,0.173825648566
1,ISI,15,area,50.4058673944,3.92346240136,46.8271070867,3.64490095134,18.4299002801,1.43453579013,12.9898203292,1.01109403124
1,ISI,15,area_adjusted,1.90594702176,1.71548408803,0.371719832107,0.334573547903,1.36807853088,1.23136526048,0.350397890555,0.315382326405
1,ISI,17,area,60.3498370555,4.69747529117,59.5966045388,4.63884561944,20.4083839342,1.5885358427,15.3966475484,1.1984352395
1,ISI,17,area_adjusted,1.86311805358,1.67693505567,0.304434569211,0.274012159502,1.32709675255,1.19447882669,0.243020481128,0.218735234338
1,ISI,19,area,52.6102675345,4.09504720912,52.9737365538,4.12333869789,19.1289355333,1.48894688699,13.7306568617,1.06875883161
1,ISI,19,area_adjusted,1.90535852605,1.71495440121,0.317536374392,0.285804689963,1.37910519786,1.24129002309,0.260166018974,0.234167403763
1,ISI,21,area,58.5817856818,4.55985474327,61.8956362001,4.81779630015,20.6219920635,1.60516254723,15.1793461202,1.18152105813
1,ISI,21,area_adjusted,1.88899155463,1.70022299539,0.308722519894,0.277871611566,1.36744508606,1.23079511634,0.27666373386,0.249016487738
1,ISI,23,area,54.3954154406,4.23399850691,63.0702686877,4.90922665616,22.5355026637,1.75410526526,22.3189976785,1.73725307696
1,ISI,23,area_adjusted,2.01121866606,1.8102358459,0.457706290545,0.411967305207,1.46579488168,1.31931673186,0.387514866003,0.348790170406
1,temp,3,area,88.2858295389,6.87194072185,14.9187119185,1.1612339657,22.9722391002,1.78809970037,1.63054743231,0.126917596601
1,temp,3,area_adjusted,1.95255330942,1.75743296907,0.0715810694835,0.0644279113225,1.39758641114,1.25792439275,0.0297372557911,0.0267655861097
1,temp,5,area,68.9120681324,5.36393722186,25.4658408703,1.98219521532,18.69282823,1.45500142199,2.88160156576,0.224296415941
1,temp,5,area_adjusted,1.8474362548,1.6628203526,0.145185560707,0.130677042101,1.33404294014,1.20073087575,0.084140087822,0.0757318961002
1,temp,7,area,68.7673495547,5.35267270192,33.5181624052,2.60896710556,21.0238742265,1.63644401579,6.32725914668,0.492497493821
1,temp,7,area_adjusted,1.89091659009,1.70195566039,0.200814101072,0.180746574333,1.37084804515,1.23385801479,0.168624776739,0.15177395701
